Sales Domain.[All Sales Domain],Sales Domain.[Division],Sales Domain.[Channel Group],Sales Domain.[Channel],Sales Domain.[Customer Group],Sales Domain.[Sold To]
ALL,ALL,0005986680,0005986680,0005986680,0001082893
ALL,ALL,0005986680,0005986680,0005986680,0001082894
ALL,ALL,0005986680,0005986680,0005986680,0001082896
ALL,ALL,0005992586,0005992586,0005992586,0001082897
ALL,ALL,0005992586,0005992586,0005992586,0001082898
ALL,ALL,0005986680,0005986680,0005986680,0001082899
ALL,ALL,0005986680,0005986680,0005986680,0001082900
ALL,ALL,0005843566,0005843566,0005843566,0001082901
ALL,ALL,0005992605,0005992605,0005992605,0001082902
ALL,ALL,0005986680,0005986680,0005986680,0001082903
ALL,ALL,0001108412,0001108412,0001108412,0001082904
ALL,ALL,0005986680,0005986680,0005986680,0001082905
ALL,ALL,0005986680,0005986680,0005986680,0001082906
ALL,ALL,0005992586,0005992586,0005992586,0001082907
ALL,ALL,0005986680,0005986680,0005986680,0001082908
ALL,ALL,0005986680,0005986680,0005986680,0001082909
ALL,ALL,0005986680,0005986680,0005986680,0001082910
ALL,ALL,0005992586,0005992586,0005992586,0001082911
ALL,ALL,0005986680,0005986680,0005986680,0001082912
ALL,ALL,0005986680,0005986680,0005986680,0001082913
ALL,ALL,0005986680,0005986680,0005986680,0001082914
ALL,ALL,0005992586,0005992586,0005992586,0001082915
ALL,ALL,0005986680,0005986680,0005986680,0001082916
ALL,ALL,0005338740,0005338740,0005338740,0001082917
ALL,ALL,0005339184,0005339184,0005339184,0001082921
ALL,ALL,0005339184,0005339184,0005339184,0001082922
ALL,ALL,0005339184,0005339184,0005339184,0001082923
ALL,ALL,0005339184,0005339184,0005339184,0001082924
ALL,ALL,0005339184,0005339184,0005339184,0001082925
ALL,ALL,0005339184,0005339184,0005339184,0001082926
ALL,ALL,0005339184,0005339184,0005339184,0001082927
ALL,ALL,0005641461,0005641461,0005641461,0001082932
ALL,ALL,0005339184,0005339184,0005339184,0001082936
ALL,ALL,0005644000,0005644000,0005644000,0001082940
ALL,ALL,0005339184,0005339184,0005339184,0001082943
ALL,ALL,0005641461,0005641461,0005641461,0001082953
ALL,ALL,0005338740,0005338740,0005338740,0001082956
ALL,ALL,0005644000,0005644000,0005644000,0001082958
ALL,ALL,0005338740,0005338740,0005338740,0001082965
ALL,ALL,0005338739,0005338739,0005338739,0001082967
ALL,ALL,0005644000,0005644000,0005644000,0001082968
ALL,ALL,0005338740,0005338740,0005338740,0001082980
ALL,ALL,0005338740,0005338740,0005338740,0001082981
ALL,ALL,0005338740,0005338740,0005338740,0001082982
ALL,ALL,0005339184,0005339184,0005339184,0001082985
ALL,ALL,0005338740,0005338740,0005338740,0001082986
ALL,ALL,0005338740,0005338740,0005338740,0001082987
ALL,ALL,0005641461,0005641461,0005641461,0001082988
ALL,ALL,0005641461,0005641461,0005641461,0001082989
ALL,ALL,0005641461,0005641461,0005641461,0001082990
ALL,ALL,0005338740,0005338740,0005338740,0001082998
ALL,ALL,0005338740,0005338740,0005338740,0001083004
ALL,ALL,0005339183,0005339183,0005339183,0001083023
ALL,ALL,0005644000,0005644000,0005644000,0001083025
ALL,ALL,0005992577,0005992577,0005992577,0001083026
ALL,ALL,0005992577,0005992577,0005992577,0001083027
ALL,ALL,0005992577,0005992577,0005992577,0001083028
ALL,ALL,0005643999,0005643999,0005643999,0001083031
ALL,ALL,0005339184,0005339184,0005339184,0001083033
ALL,ALL,0005641461,0005641461,0005641461,0001083035
ALL,ALL,0005644000,0005644000,0005644000,0001083037
ALL,ALL,0005338740,0005338740,0005338740,0001083039
ALL,ALL,0005338740,0005338740,0005338740,0001083058
ALL,ALL,0005992577,0005992577,0005992577,0001083059
ALL,ALL,0005644000,0005644000,0005644000,0001083060
ALL,ALL,0005644000,0005644000,0005644000,0001083062
ALL,ALL,0005992586,0005992586,0005992586,0001083063
ALL,ALL,0005992595,0005992595,0005992595,0001083064
ALL,ALL,0005992586,0005992586,0005992586,0001083065
ALL,ALL,0005992595,0005992595,0005992595,0001083066
ALL,ALL,0005992586,0005992586,0005992586,0001083068
ALL,ALL,0005992577,0005992577,0005992577,0001083069
ALL,ALL,0005992586,0005992586,0005992586,0001083070
ALL,ALL,0005992586,0005992586,0005992586,0001083071
ALL,ALL,0005992586,0005992586,0005992586,0001083072
ALL,ALL,0005992586,0005992586,0005992586,0001083073
ALL,ALL,0005992586,0005992586,0005992586,0001083074
ALL,ALL,0005843565,0005843565,0005843565,0001083076
ALL,ALL,0005992577,0005992577,0005992577,0001083081
ALL,ALL,0005338739,0005338739,0005338739,0001083082
ALL,ALL,0005992586,0005992586,0005992586,0001083084
ALL,ALL,0005992577,0005992577,0005992577,0001083087
ALL,ALL,0005992577,0005992577,0005992577,0001083088
ALL,ALL,0005338739,0005338739,0005338739,0001083090
ALL,ALL,0005992586,0005992586,0005992586,0001083091
ALL,ALL,0005992586,0005992586,0005992586,0001083092
ALL,ALL,0005992586,0005992586,0005992586,0001083093
ALL,ALL,0005992586,0005992586,0005992586,0001083094
ALL,ALL,0005992586,0005992586,0005992586,0001083095
ALL,ALL,0005338740,0005338740,0005338740,0001083100
ALL,ALL,0005338740,0005338740,0005338740,0001083102
ALL,ALL,0005338739,0005338739,0005338739,0001083103
ALL,ALL,0002172197,0002172197,0002172197,0001083104
ALL,ALL,0002172197,0002172197,0002172197,0001083105
ALL,ALL,0005338740,0005338740,0005338740,0001083107
ALL,ALL,0001108325,0001108325,0001108325,0001083110
ALL,ALL,0001108325,0001108325,0001108325,0001083111
ALL,ALL,0005992577,0005992577,0005992577,0001083113
ALL,ALL,0005992577,0005992577,0005992577,0001083114
ALL,ALL,0005992577,0005992577,0005992577,0001083115
ALL,ALL,0005992577,0005992577,0005992577,0001083116
ALL,ALL,0005992577,0005992577,0005992577,0001083117
ALL,ALL,0001108302,0001108302,0001108302,0001083118
ALL,ALL,0005338740,0005338740,0005338740,0001083119
ALL,ALL,0005992577,0005992577,0005992577,0001083125
ALL,ALL,0005992577,0005992577,0005992577,0001083126
ALL,ALL,0005992577,0005992577,0005992577,0001083127
ALL,ALL,0005992577,0005992577,0005992577,0001083128
ALL,ALL,0005992577,0005992577,0005992577,0001083129
ALL,ALL,0005992577,0005992577,0005992577,0001083130
ALL,ALL,0005992577,0005992577,0005992577,0001083132
ALL,ALL,0005992577,0005992577,0005992577,0001083133
ALL,ALL,0005992577,0005992577,0005992577,0001083134
ALL,ALL,0005338740,0005338740,0005338740,0001083137
ALL,ALL,0002172197,0002172197,0002172197,0001083138
ALL,ALL,0002172197,0002172197,0002172197,0001083139
ALL,ALL,0005338739,0005338739,0005338739,0001083141
ALL,ALL,0005641461,0005641461,0005641461,0001083142
ALL,ALL,0005641461,0005641461,0005641461,0001083143
ALL,ALL,0005644000,0005644000,0005644000,0001083147
ALL,ALL,0005992577,0005992577,0005992577,0001083166
ALL,ALL,0005338740,0005338740,0005338740,0001083167
ALL,ALL,0005992577,0005992577,0005992577,0001083186
ALL,ALL,0005644000,0005644000,0005644000,0001083199
ALL,ALL,0004322613,0004322613,0004322613,0001083201
ALL,ALL,0004322613,0004322613,0004322613,0001083202
ALL,ALL,0005992577,0005992577,0005992577,0001083203
ALL,ALL,0005992577,0005992577,0005992577,0001083204
ALL,ALL,0005992577,0005992577,0005992577,0001083205
ALL,ALL,0004322613,0004322613,0004322613,0001083209
ALL,ALL,0005338740,0005338740,0005338740,0001083210
